date,publishedAt,checkedAt,title,category,kind,sourceType,sourceLabel,sourceUrl,tags,excerpt,takeaway,verification,slug
2024-01-05,2024-01-05,2026-09-24,中国及香港来源 PCB 反倾销案件公布最终调查结果,PCB / PCBA,贸易救济案件,监管案件,印度贸易救济总局 DGTR,https://www.dgtr.gov.in/en/anti-dumping-cases/initiation-anti-dumping-investigation-concerning-imports-printed-circuit-boards,PCB / 反倾销 / 贸易救济,印度贸易救济总局 PCB 案件时间线显示最终调查结果在 2024 年 1 月 5 日公布。,进出口合同或价格决策需核实最新生效措施、产品范围、税率及有效期。,已核对原始公告；项目与政策后续状态需持续跟踪,pcb-antidumping-findings-2024
2023-11-18,2023-11-18,2026-09-24,印度 IT 硬件 PLI 2.0 批准 27 家制造商：包含服务器,服务器与电子制造,获批项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1990385&lang=2&reg=3,服务器 / IT硬件 / PLI,印度政府披露 IT 硬件生产激励计划第二版的 27 家获批制造商，覆盖服务器等产品。,服务器板卡和整机企业应同时跟踪 IT 硬件 PLI 与 ECMS 的不同扶持对象。,已核对原始公告；项目与政策后续状态需持续跟踪,it-hardware-pli-2023
2025-04-08,2026-09-17,2026-09-24,ECMS 正式通知日期与初始批准日期不是同一天,产业政策,政策原始资料,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/FactsheetDetails.aspx?Id=151016&lang=1&reg=48,ECMS / 政策时间线,印度官方回顾文件明确 ECMS 于 2025 年 4 月 8 日正式通知，早于此的 3 月 28 日是内阁批准。,建立政策时间线应分别保存批准日期、生效或通知日期和信息发布日。,已核对原始公告；项目与政策后续状态需持续跟踪,ecms-notification-2025
2025-11-17,2025-11-17,2026-09-24,ECMS 第二批项目涉及光模块、电子零部件制造,服务器与电子制造,获批项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2190872&lang=2&reg=48,光模块 / SFP / 服务器 / ECMS,印度政府公布第二批 17 个 ECMS 项目，其中包括光收发器 SFP 等产品。,对交换机、服务器及光互联供应商而言，具体光模块项目比一般电子制造投资汇总更有意义。,已核对原始公告；项目与政策后续状态需持续跟踪,ecms-optical-transceivers-nov-2025
2026-01-02,2026-01-02,2026-09-24,印度第三批 ECMS 批准 22 个项目，涵盖 PCB、覆铜板及连接器,PCB / PCBA,获批项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1,PCB / 覆铜板 / 连接器 / ECMS,第三批 ECMS 批准 22 个电子元器件项目，披露多个关键电子材料及配套元件方向。,优先按 PCB 类型、覆铜板和连接器等产品建立项目台账，后续核对产能与产品规格。,已核对原始公告；项目与政策后续状态需持续跟踪,ecms-22-third-tranche-2026
2026-01-02,2026-01-02,2026-09-24,九家 PCB/HDI 申请方列入印度 ECMS 第三批批准项目,PCB / PCBA,企业项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1,PCB / HDI / 获批企业 / ECMS,印度政府在第三批项目公告中逐一列出九家获批的 PCB（含 HDI）相关申请企业。,企业项目跟踪应当记录主体、产品、申请批次与投产证据，不对获批企业作信用或违法评价。,已核对原始公告；项目与政策后续状态需持续跟踪,ecms-nine-pcb-applicants-2026
2026-03-10,2026-03-10,2026-09-24,印度调整接壤国家投资审批政策：特定电子制造项目设 60 天期限,贸易与合规,政策原始资料,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2237806&lang=1&reg=1,FDI / 投资准入 / 跨境合规,印度内阁公布与接壤国家投资相关的审批政策调整，涉及持股条件和指定制造行业。,股权结构、实际控制、投资行业与审批路径应逐案核对，不能简单称为全面开放或全面禁止。,已核对原始公告；项目与政策后续状态需持续跟踪,india-fdi-bordering-countries-2026
2026-03-27,2026-03-27,2026-09-24,印度披露电子制造 PLI 激励实际发放数据,产业政策,产业数据,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2246089&lang=1&reg=1,PLI / 实际发放 / 产业数据,印度商工部披露大规模电子制造与 IT 硬件 2.0 等 PLI 计划已发放激励资金。,建立指标字典，避免把不同计划、资金口径与实际兑现情况混为一谈。,已核对原始公告；项目与政策后续状态需持续跟踪,pli-electronics-disbursement-2026
2026-05-05,2026-05-05,2026-09-24,印度批准两项新半导体制造项目：涉及复合半导体和封装,半导体,获批项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2258119&lang=1&reg=3,半导体 / ATMP / 复合半导体,印度内阁公布新批准两项半导体项目，涉及古吉拉特邦的复合半导体与封装制造。,比较印度芯片制造进度时，必须分清晶圆制造、复合半导体、封装和测试的不同工艺环节。,已核对原始公告；项目与政策后续状态需持续跟踪,india-semiconductor-two-units-may-2026
2026-06-01,2026-02-28,2026-09-24,中国《商业秘密保护规定》施行：技术资料与访厂应分级管理,贸易与合规,法规原文,政府原始资料,中国国家市场监督管理总局,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2026/art_a89ca909478b460595670fabe02b21d3.html,商业秘密 / 工艺保护 / 技术合规,中国市场监管总局第 126 号令于 2026 年 6 月 1 日施行，明确商业秘密保护相关要求。,建立访厂区域限制、分级技术资料、保密审批、留痕以及对外技术交付清单。,已核对原始公告；项目与政策后续状态需持续跟踪,china-trade-secrets-rule-2026
2026-07-15,2026-07-15,2026-09-24,"印度内阁批准 Semicon 2.0：预算 ₹1,27,500 crore",半导体,政策原始资料,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2284796&lang=1&reg=3,Semicon 2.0 / 封装测试 / 材料,新阶段半导体政策覆盖设计、设备与材料、制造设施、先进封装、研发及人才培养。,为半导体项目打上工艺环节标签，分别追踪前道、封装测试、设备及材料。,已核对原始公告；项目与政策后续状态需持续跟踪,semicon-2-2026
2026-07-15,2026-07-15,2026-09-24,印度公布 2025—2026 财年电子制造与出口数据,产业政策,产业数据,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2284808&lang=1&reg=3,电子制造 / 出口 / 财年数据,印度政府发布截至 2025—2026 财年的电子制造与出口数据，并说明包含手机等不同电子品类。,用于宏观背景数据时要保存财年和统计口径；行业市场容量另需单独测算。,已核对原始公告；项目与政策后续状态需持续跟踪,india-electronics-production-2026
2026-07-13,2026-07-13,2026-09-24,PCB Tools 反倾销调查举行听证，案件仍需跟踪后续公告,贸易与合规,调查进展,监管案件,印度贸易救济总局 DGTR,https://www.dgtr.gov.in/en/anti-dumping-cases/anti-dumping-investigation-concerning-imports-printed-circuit-board-tools,PCB工具 / 反倾销 / 贸易救济,印度贸易救济总局案件页列出 2026 年 7 月 13 日听证公告；后续最终决定应独立核实。,为每个贸易救济案件建立事件时间线与最新核验日期，避免长期引用过期的“调查中”描述。,已核对原始公告；项目与政策后续状态需持续跟踪,pcb-tools-hearing-2026
2026-08-17,2026-08-17,2026-09-24,ECMS 第五批：印度公布连接器、SFP、覆铜板及设备项目申请方,服务器与电子制造,企业项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48,连接器 / 光模块 / 覆铜板 / ECMS,2026 年 8 月批准公告详细列明部分企业及产品，适合形成供应链项目名录。,建立“公司—产品—投资状态—官方来源”关系，避免仅凭国家或公司名称判断交易风险。,已核对原始公告；项目与政策后续状态需持续跟踪,ecms-august-named-projects-2026
2026-09-15,2026-09-15,2026-09-24,印度奥迪沙邦 SiC 半导体项目获特别经济区单位审批,半导体,获批项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2310397&lang=2&reg=48,SiC / 功率半导体 / 奥迪沙,印度商务部门公布 SiCSem 在奥迪沙邦设立碳化硅器件项目取得相关单位审批。,功率电子供应链分析应单独跟踪 SiC 器件，不直接把该项目当作通用 AI GPU 生产。,已核对原始公告；项目与政策后续状态需持续跟踪,india-sic-odisha-project-2026
2026-09-17,2026-09-17,2026-09-24,印度最新 ECMS 专题披露电子产业链从组装向元器件延伸,产业政策,专题解读,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/FactsheetDetails.aspx?Id=151016&lang=1&reg=48,ECMS / PCB / 产业链 / 数据口径,印度政府发布 ECMS 专题，详细区分制造业规模、项目批准、关键元件以及政策目标。,将公告日期与统计截至日期分开，以便正确识别“最新公告报道旧数据”的情形。,已核对原始公告；项目与政策后续状态需持续跟踪,ecms-september-background-2026
2026-09-17,2026-09-17,2026-09-24,印度官方发布半导体制造进度专题：设计、制造与封测分开追踪,半导体,专题解读,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2311220&lang=2&reg=48,半导体 / 封测 / 供应链,专题资料介绍印度半导体项目涉及的多条技术路线和不同建设阶段。,服务器和 AI 产业研究必须核对芯片类别、制程和产能，不能把封装设施误写为 GPU 晶圆制造。,已核对原始公告；项目与政策后续状态需持续跟踪,india-semiconductor-background-sept-2026
2026-09-23,2026-09-23,2026-09-24,印度发布跨电子产业环节协同专题：元器件、材料和封装关联增强,产业政策,专题解读,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2313743&lang=1&reg=3,产业链 / 行业协作 / 电子制造,印度政府专题提及电子元器件、半导体、封装、材料与终端应用之间的协同需求。,平台可建立跨行业关联和来源更新记录，但不能把一般产业协同直接解释为针对中国企业的秘密行动。,已核对原始公告；项目与政策后续状态需持续跟踪,india-whole-industry-2026
